Category,Topic,Description,Do,Don't,Code Example Good,Code Example Bad,Severity,Keywords
"Classic Principles","Vertical Rhythm","Your line-height should be the base unit for ALL vertical spacing. If body text has line-height: 1.5 on 16px type (= 24px), spacing values should be multiples of 24px. This creates subconscious harmony—text and space share a mathematical foundation.","Use line-height as base unit for spacing","Use arbitrary spacing values","body { line-height: 1.5; } .section { margin-bottom: 48px; } /* 2x line-height */","body { line-height: 1.5; } .section { margin-bottom: 50px; }",High,"vertical rhythm,line-height,spacing"
"Classic Principles","Modular Scale","Use fewer sizes with more contrast. A 5-size system covers most needs. Popular ratios: 1.25 (major third), 1.333 (perfect fourth), 1.5 (perfect fifth).","Use modular scale (1.25, 1.333, 1.5)","Use too many similar sizes (14px, 15px, 16px, 18px)","font-size: clamp(1rem, 2vw + 0.5rem, 2rem);","font-size: 14px; font-size: 15px; font-size: 16px;",High,"modular scale,type scale,hierarchy"
"Classic Principles","Readability & Measure","Use ch units for character-based measure (max-width: 65ch). Line-height scales inversely with line length—narrow columns need tighter leading, wide columns need more.","Use ch units for measure, adjust line-height by line length","Use fixed line-height regardless of measure","max-width: 65ch; line-height: 1.5;","width: 800px; line-height: 1.5;",Medium,"readability,measure,line-length,ch units"
"Font Selection","Choosing Distinctive Fonts","Avoid the invisible defaults: Inter, Roboto, Open Sans, Lato, Montserrat. These are everywhere, making your design feel generic.","Use distinctive fonts like Instrument Sans, Plus Jakarta Sans, Outfit, Onest, Figtree","Use overused fonts (Inter, Roboto, Arial, Open Sans)","font-family: 'Instrument Sans', sans-serif;","font-family: Inter, sans-serif;",High,"font selection,distinctive fonts,Inter alternative"
"Font Selection","System Fonts","System fonts are underrated: -apple-system, BlinkMacSystemFont, Segoe UI, system-ui looks native, loads instantly, and is highly readable.","Consider system fonts for performance-critical apps","Ignore system fonts as option","font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', system-ui, sans-serif;","font-family: 'Custom Font', sans-serif;",Low,"system fonts,performance,native fonts"
"Font Pairing","Pairing Principles","You often don't need a second font. One well-chosen font family in multiple weights creates cleaner hierarchy than two competing typefaces.","Use one font family in multiple weights, or pair with genuine contrast","Pair similar fonts (two geometric sans-serifs)","font-family: 'Instrument Sans', sans-serif; /* weights: 400, 500, 700 */","font-family: 'Inter', sans-serif; font-family: 'Roboto', sans-serif;",Medium,"font pairing,typeface selection,hierarchy"
"Web Font Loading","Font Display Strategy","The layout shift problem: fonts load late, text reflows, and users see content jump.","Use font-display: swap and match fallback metrics","Ignore font loading performance","@font-face { font-family: 'CustomFont'; font-display: swap; size-adjust: 105%; }","@font-face { font-family: CustomFont; src: url(font.woff2); }",Medium,"font loading,FOUT,layout shift,font-display"
"Modern Typography","Fluid Type","Use clamp(min, preferred, max) for fluid typography. The middle value (e.g., 5vw + 1rem) controls scaling rate.","Use clamp() for fluid typography","Use fixed sizes or only vw units","font-size: clamp(1rem, 5vw + 1rem, 2rem);","font-size: 5vw;",Medium,"fluid type,clamp,responsive typography"
"Modern Typography","OpenType Features","Most developers don't know these exist. Use them for polish: tabular numbers, proper fractions, small caps, kerning.","Use OpenType features for polish","Ignore OpenType features","font-variant-numeric: tabular-nums; font-kerning: normal;","No OpenType features",Low,"OpenType features,tabular numbers,kerning"
"Accessibility","Never Disable Zoom","Never disable zoom: user-scalable=no breaks accessibility. If your layout breaks at 200% zoom, fix the layout.","Respect user zoom preferences","Disable zoom with user-scalable=no","Allow zoom, fix layout for 200% zoom","<meta name='viewport' content='user-scalable=no'>",Critical,"accessibility,zoom,user-scalable"
"Accessibility","Use rem/em for Font Sizes","Use rem/em for font sizes: This respects user browser settings. Never px for body text.","Use rem/em for font sizes","Use px for body text","font-size: 1rem; line-height: 1.5em;","font-size: 16px;",High,"accessibility,rem,em,user settings"
"Accessibility","Minimum 16px Body Text","Smaller than 16px strains eyes and fails WCAG on mobile.","Use minimum 16px for body text","Use smaller than 16px for body","font-size: 1rem; /* 16px */","font-size: 14px;",High,"accessibility,minimum size,WCAG"
